Band	Genre	Status	City	State
Dark Suffering	Black/Death Metal	Split-up	Belo Horizonte	Minas Gerais
Dark Suffering	Black Metal	Split-up	Belo Horizonte	Minas Gerais
Dark Supremacy	Black Metal	Active	João Pessoa	Paraíba
Dark Torment	Black Metal	Active	Santa Maria	Rio Grande do Sul
Dark Torment 666	Black Metal	Split-up	Santa Maria da Vitória	Bahia
Dark Tower	Black/Death Metal	Active	Rio de Janeiro	Rio de Janeiro
Dark Trinity	Black Metal	Active	São Paulo	São Paulo
Dark Triumph	Symphonic Black Metal	Active	Belo Horizonte	Minas Gerais
Dark Valley	Heavy Metal	Active	Porto Alegre	Rio Grande do Sul
Dark Visions	Thrash/Death Metal	Split-up	Tobias Barreto	Sergipe
Dark War	Black Metal	Split-up	Itabuna	Bahia
Dark Whisper	Heavy Metal	Split-up	Lages	Santa Catarina
Dark Winter Storm	Black Metal	Active	Piedade	São Paulo
Dark Witch	Power Metal	Active	Santos	São Paulo
Dark Woods	Atmospheric Black Metal	Active	Lima Duarte	Minas Gerais
Dark's Eve	Death Metal	Unknown	Belo Horizonte	Minas Gerais
Dark's War	Death/Thrash Metal	Split-up	Campestre	Minas Gerais
Darkager	Power Metal	Unknown	Ribeirão Preto	São Paulo
Darkaliel	Black Metal	Changed name	Fortaleza	Ceará
Darkat Yuuyamihn	Depressive Black Metal	Active	Porto Alegre	Rio Grande do Sul
Darken	Heavy/Thrash Metal	Split-up	Foz do Iguaçu	Paraná
Darken Solis	Death Metal	Split-up	Recife	Pernambuco
Darkenwintermoon	Black Metal	Split-up		
Darkest	Thrash/Death Metal	Split-up	São Paulo	São Paulo
Darkest Æmber	Doom/Death Metal	Active	São Paulo	São Paulo
Darkest Fears	Thrash/Heavy Metal	Split-up	Manaus	Amazonas
Darkest Hate	Black Metal	Changed name	Rio de Janeiro	Rio de Janeiro
Darkest Hate Warfront	Black Metal (early); Black/Thrash Metal (later)	On hold	Rio de Janeiro	Rio de Janeiro
Darkest Seed	Heavy Metal/Hard Rock	Active	Caxias do Sul	Rio Grande do Sul
Darkhammer	Black/Thrash Metal	Active	Ananindeua	Pará
Darkhron	Heavy/Thrash Metal	Split-up	Patos de Minas	Minas Gerais
Darkland	Heavy/Progressive Metal	Split-up	São Paulo	São Paulo
Darklands	Power Metal	Unknown	Aracaju	Sergipe
Darkness	Thrash Metal	Unknown	Carlos Barbosa	Rio Grande do Sul
Darkness	Death Metal	Changed name	São José	Santa Catarina
Darkness Creature	Black Metal	Active	Marataizes. Espirito Santo	
Darkness Emperor	Black Metal	Split-up	Recife	Pernambuco
Darkness in Flames	Power Metal	Unknown	São Paulo	São Paulo
Darkness Profanation	Black Metal	Unknown	Belo Horizonte	Minas Gerais
DarkRazor	Melodic Death Metal	Active	Brasília	Distrito Federal
Darkshadows	Power Metal	Unknown	Caxias do Sul	Rio Grande do Sul
Darkside	Thrash Metal	Active	Fortaleza	Ceará
Darksmile	Heavy Metal	Active	Indaiatuba	São Paulo
DarkTale	Gothic/Doom Metal	Split-up	Maceió	Alagoas
Darktrace	Thrash Metal	Active	Mauá	São Paulo
Darkway	Death/Thrash Metal	Split-up	Presidente Prudente	São Paulo
Das Florestas ao Oculto	Raw Black Metal, Ambient	Split-up		
Das Reich	Heavy Metal	Active	Gramado	Rio Grande do Sul
Datavenia	Heavy Metal	Active	Frederico Westphalen	Rio Grande do Sul
David Thomazone	Melodic Power Metal/Shred	Active	São Paulo	São Paulo
Dawn Back	Stoner Metal	Active	Mogi das Cruzes	São Paulo
Dawn of Sickness	Groove/Death Metal	Active	Bauru	São Paulo
Dawn Rovers	Heavy Metal/Hard Rock	Split-up	São Paulo	
Dawn Tears	Heavy Metal	Active	Goiânia	Goiás
Daydream XI	Progressive/Power Metal	Active	Porto Alegre	Rio Grande do Sul
Days of a New Future	Atmospheric Black Metal	Active	Piauí	
DCLXVI	Black/Thrash Metal	Active	Campina Grande	Paraíba
De Alphyrian	Black Metal	Active	Fortaleza	Ceará
De Halve Maan	Black Metal	Active	Rio de Janeiro	Rio de Janeiro
De Profvndis Clamati	Funeral Doom Metal	Active	Curitiba	Paraná
De Ros	Progressive Metal/Rock, Shred	Active	Caxias do Sul	Rio Grande do Sul
Dead City Walker	Heavy Metal	Active	Garanhuns	Pernambuco
Dead Crush	Death Metal	Active	Piedade	São Paulo
Dead Enemy	Thrash Metal/Crossover	Active	Fortaleza	Ceará
Dead Fetus Collection	Death Metal/Goregrind	Split-up	Caxias do Sul	Rio Grande do Sul
Dead Flowers	Heavy/Doom Metal	Split-up	Rio Branco	Acre
Dead Jungle Sledge	Southern Metal	Active	Florianópolis	Santa Catarina
Dead Limbs	Atmospheric Black/Post-Metal	Active	Rio de Janeiro	Rio de Janeiro
Dead Man Walking	Heavy/Thrash Metal	Active	São Paulo	São Paulo
Dead Meat	Thrash Metal	Active	Goiânia	Goiás
Dead Nature	Power Metal	Active	Rio de Janeiro	Rio de Janeiro
Dead Orbs	Doom/Black Metal	Active	Santa Maria da Vitória	Bahia
Dead Reward	Doom/Death Metal	Active	Londrina	Paraná
Dead Snake	Death Metal/Grindcore	Split-up	São Paulo	São Paulo
Dead Stare	Experimental Melodic Death Metal	Active		
Dead State	Thrash Metal	Active	Marau	Rio Grande do Sul
Dead Tree of Extinction	Experimental/Atmospheric Black Metal	Active		
Dead Tripulation	Death Metal	Active	São Paulo	
Deadburied	Brutal Death Metal	Active	Fortaleza	Ceará
Deadfall	Thrash/Heavy Metal	Split-up	Londrina	Paraná
Deadgod	Death/Groove Metal	Active	Viamão	Rio Grande do Sul
Deadhope	Thrash Metal	Unknown	Belo Horizonte	Minas Gerais
DeadImage	Symphonic Metal/Ambient	Split-up	Belo Horizonte	Minas Gerais
Deadleaf	Depressive Black Metal	Split-up	Osasco	São Paulo
Deadline	Melodic Heavy Metal	Unknown	Maringá	Paraná
Deadliness	Thrash Metal	Active	Itaúna	Minas Gerais
Deadly Curse	Thrash/Melodic Death Metal	Active	Goiânia	Goiás
Deadly Fate	Melodic Progressive Metal	Active	Natal	Rio Grande do Norte
Deadly Fields	Thrash Metal	Split-up	São Paulo	São Paulo
Deadly Shadows	Thrash Metal	Active	Caxias do Sul	Rio Grande do Sul
Deadly Sinners	Death/Thrash/Heavy Metal	Active	Indaiatuba	São Paulo
Deadmoon	Atmospheric Black Metal/Shoegaze	Active	Belo Horizonte	Minas Gerais
Deadnation	Death Metal	Active	Tubarão	Santa Catarina
Deadpan	Progressive Death Metal	Active	Florianópolis	Santa Catarina
Deadsmart	Brutal Death Metal/Grindcore	Split-up	Guarapuava	Paraná
Deadwishes	Atmospheric/Depressive Black Metal	Active	Santarém	Pará
Deaf Owl	Sludge/Doom Metal	Active	Rio Grande/Cassino	Rio Grande do Sul
Death After Death	Grindcore	Split-up	Rio de Janeiro	Rio de Janeiro
Death Altar	Death/Black Metal	Active	Manaus	Amazonas
Death Angels	Thrash/Death Metal	Split-up	São Paulo	São Paulo
Death Betrayers	Thrash/Death Metal	Active	São Paulo	São Paulo
Death by Starvation	Black Metal	Active	São Paulo	São Paulo
Death Chaos	Death Metal	Active	Curitiba	Paraná
Death Conspiracy	Death Metal	Active	São Paulo	São Paulo
Death Crush in Hell	Black Metal	Active	Marília	São Paulo
Death Ecstasy	Thrash Metal	Active	Porto Alegre/Canoas	Rio Grande do Sul
Death for Life	Melodic Death Metal/Metalcore	Active	Rio de Janeiro	
Death Hate	Death/Doom Metal	Split-up	Botucatu	São Paulo
Death Mist	Death Metal	Active	Santa Catarina	
Death n Roll	Heavy Metal	Split-up	Jaguariúna	São Paulo
Death n' Darkness Prevails	Black Metal	Active	Recife	Pernambuco
Death Noise	Thrash Metal	Active	Fortaleza	Ceará
Death Overlord	Black Metal	Active	Valinhos	São Paulo
Death Poems	Melodic Gothic/Black Metal	Split-up	São Bernardo do Campo	São Paulo
Death Silence	Death Metal	Active	Rio Branco	Acre
Death Slam	Death Metal/Grindcore	Active	Brasília	Distrito Federal
Death Slave	Heavy Metal	Active	Limeira	São Paulo
Death Smoke	Death Metal	Active	Curitiba	Paraná
Death Soldier	Thrash Metal	Active	Campo Grande	Mato Grosso do Sul
Death Wrong	Heavy Metal	Active	Arujá	São Paulo
Deathate	Thrash/Death Metal	Split-up	São Bernardo do Campo	São Paulo
DeathBanger	Speed/Thrash Metal	Active	Ananindeua	Pará
Deathcharge	Black/Speed Metal, Hardcore Punk	Active	São José dos Campos	São Paulo
Deathcrush	Black Metal	Active	Itaítuba	Pará
Deathena	Death Metal	Active	Londrina	Paraná
Deathgates	Melodic Death Metal	Active	Rio De Janeiro	
Deathgeist	Thrash Metal	Active	São Paulo	São Paulo
Deathgod Luciferi	Raw Black Metal	Active	São Paulo	
Deathless	Death Metal/Grindcore	Split-up	Manaus	Amazonas
Deathlike Stab	Thrash Metal/Crossover	Active		
Deathmaker	Death Metal	Active	São Paulo	São Paulo
Deathning	Death Metal	Active	Curitiba	Paraná
Deathormation	Death/Thrash Metal	Split-up	Varghina	Minas Gerais
Deathpass	Black Metal	Unknown	Rio de Janeiro	Rio de Janeiro
Deathraiser	Thrash Metal	Active	Leopoldina	Minas Gerais
Deathrite	Thrash Metal	Split-up	Rio de Janeiro	Rio de Janeiro
DeathSlaüghter	Black/Thrash/Speed Metal with Doom influences	Active	São José dos Campos	São Paulo
Deathspit	Groove/Thrash Metal	Active	Minas Gerais	
DeathTron	Electronic/Melodic Death/Groove Metal	On hold	Americana	São Paulo
Decadencia	Death/Thrash Metal	Active	São Paulo	São Paulo
Decapitação Angelical	Black Metal	Active	Salvador	Bahia
Decapitation	Thrash/Death Metal	Split-up	Belo Horizonte	Minas Gerais
Decaptation	Death Metal	Split-up	Niterói	Rio de Janeiro
Decaptor	Death/Thrash Metal	Active	Santarém	Pará
Decaptor	Brutal Death Metal	Split-up	Juazeiro do Norte	Ceará
Decatexia	Death/Black Metal	Active	São Paulo	
Deceived	Groove/Thrash Metal	Split-up	Teresina	Piauí
Deceptacon	Death/Nu-Metal	Active	Foz do Iguaçu	Paraná
Decimator	Thrash Metal	Active	Porto Alegre	Rio Grande do Sul
Declínio	Black/Death Metal	Active	Assis	São Paulo
Declite	Thrash/Groove Metal	Unknown	Natal	Rio Grande do Norte
Decomposed God	Death Metal	Active	Recife	Pernambuco
Decomposer	Death Metal	Active	Salvador	Bahia
Decomposing	Brutal Death Metal	Active	Fortaleza	Ceará
Decreptor	Death Metal	Active	São Borja	Rio Grande do Sul
Decried	Death Metal	Split-up	Mauá	São Paulo
Deep Hatred	Death Metal	Active	São Luís	Maranhão
Deep Memories	Melodic Doom/Death Metal	Active	Americana	São Paulo
Deep Silence	Doom/Death Metal	Active	Salvador	Bahia
Deeper than That	Melodic Death Metal/Metalcore	Split-up	Piracicaba	São Paulo
Defaced	Thrash/Death Metal	Active	São Sebastião do Paraíso	Minas Gerais
Defacer	Black/Doom Metal	Active	Belo Horizonte	Minas Gerais
DeFalla	AOR/Funk (early); Thrash Metal/Crossover (mid); Pop/Rock (later)	Active	Porto Alegre	Rio Grande do Sul
Defame	Melodic Heavy Metal	Unknown	Ponta Grossa	Paraná
Defecation of Putrid Blood	Brutal Death/Thrash Metal	Active	Belém	Pará
Defier	Heavy Metal	Split-up	Rio Grande do Sul	
Defoice	Melodic Death/Thrash Metal	Active		
Deformed Slut	Brutal Death Metal	Active	Curitiba	Paraná
Deformity BR	Death Metal/Grindcore	Active	Feira de Santana	Bahia
Deformity of Society	Thrash Metal	Split-up	São Paulo	São Paulo
Defront	Death Metal/Grindcore	Active	Guarulhos	São Paulo
Defunthosed	Death Metal	Unknown	Recife	Pernambuco
Defunto	Raw Black Metal	Active	Curitiba	Paraná
Defy	Death/Thrash Metal/Crust Punk	Split-up	Jundiaí	São Paulo
Degola	Thrash Metal	Active	Brasília	Distrito Federal
Degolate	Death Metal	Active	Atibaia	São Paulo
Degrador	Thrash Metal	Active	Paula Cândido	Minas Gerais
Deimos	Heavy/Speed Metal	Split-up	Guaratinguetá	São Paulo
Deimos	Heavy Metal/Hard Rock	Unknown	Diadema	São Paulo
Deimos Dream	Thrash Metal	Split-up	Canoas	Rio Grande do Sul
Deist	Thrash Metal	Split-up	Santa Maria	Rio Grande do Sul
Deity Wars	Power Metal	Split-up	São Paulo	São Paulo
Deja-Vu	Power/Thrash Metal	Split-up	Brasília	Distrito Federal
Delenda Arcana	Pagan/Folk/Black Metal	Split-up	Jundiaí	São Paulo
Delicta Carnis	Death/Black Metal	Active	Vitória	Espírito Santo
Deliver	Thrash Metal	Split-up	Curitiba	Paraná
Delohim	Melodic Power Metal	Active	Taubaté	São Paulo
Delphi	Technical Death/Black/Thrash Metal	Split-up	Porto Alegre	Rio Grande do Sul
Delpht	Melodic Progressive Metal	Split-up	São Paulo	São Paulo
Deluge Master	Heavy Metal	Split-up	Natal	Rio Grande do Norte
Dementia	Power/Thrash Metal	Split-up	Nova Iguaçu/Rio de Janeiro	
Demigod	Death Metal	Split-up	Bauru	São Paulo
Demogorgon	Black Metal	Active	Juiz de Fora	Minas Gerais
Demolidor	Death/Black Metal	Split-up	Teresina	Piauí
Demolish	Thrash Metal	Active	Brasília	Distrito Federal
Demolishment	Death/Thrash Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Demolition	Thrash Metal	Active	Governador Valadares	Minas Gerais
Demon Creation	Doom/Death Metal	Unknown		
Demön Haunt	Speed Metal/Punk	Active	Recife	Pernambuco
Demon's Crest	Heavy Metal	Changed name	Matinhos	Paraná
Demon's Crest	Doom/Death Metal	Split-up	Recife	Pernambuco
Demonabyzz	Stoner/Doom Metal	Active	Cassino	Rio Grande do Sul
Demonation	Black Metal	Split-up		
Demoncide	Black/Doom/Folk Metal	Split-up	Juazeiro	Bahia
Demoniac Abasbacation	Death Metal	Split-up	Belo Horizonte	Minas Gerais
Demoniac Harvest	Symphonic Black/Death Metal	Active		
Demoniac Lord	Black Metal	Active	Itabira	Minas Gerais
Demoniah	Death 'n' Roll	Active	Recife	Pernambuco
Demonic Fears	Black Metal	On hold	Curitiba	Paraná
Demonic Goat	Raw Black Metal	Active	São Paulo	São Paulo
Demonic Hate	Death Metal	Active	São Luis	Maranhão
Demonic War Front	Black Metal	Active	Varginha	Minas Gerais
Demônio	Atmospheric Experimental Black Metal/Noise	Active	Rio de Janeiro	
Demonized Legion	Brutal Death Metal	Active	Campina Grande	Paraíba
Demonochorus	Funeral Doom Metal	Active	Valinhos	São Paulo
Demonolatry	Progressive Death Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Demons and Angels	Thrash Metal	Changed name	São Paulo	São Paulo
Demons of Creation	Black Metal	Active	Recife	Pernambuco
Demonthor	Black/Thrash Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Demophobia	Thrash Metal/Crossover	Active	São Paulo	São Paulo
Den Svarta Häxan	Experimental Black Metal	Active	Recife	Pernambuco
Denfire	Thrash Metal	Active	São Paulo	
Denial of Light	Death/Doom Metal	Active	São Paulo	São Paulo
Denied Redemption	Black Metal	Active	Brasília	Distrito Federal
Denim and Leather	Heavy Metal	Active	Campinas	São Paulo
Denison Fernandes	Heavy Metal/Fusion	Active	São Paulo	São Paulo
Depart	Atmospheric Black Metal	Active	Rio Grande do Sul	
Depredate	Death Metal	Active	Maceió	Alagoas
Depredator	Death/Thrash Metal	Split-up		
Deprephobia	Depressive Black Metal	Active	São Paulo	São Paulo
Depressed	Death Metal	Active	Santo André	São Paulo
Depressiona	Electronic/Industrial/Depressive Black Metal	Split-up	Betim	Minas Gerais
Depressive Life	Depressive Black Metal	Split-up	Brasília	Distrito Federal
Depressor	Death Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Depth	Post-Metal/Rock	Unknown	Rio Grande	Rio Grande do Sul
Depth Hate	Heavy Metal/Hard Rock	Active	Guarujá	São Paulo
Depthless	Thrash Metal	Split-up	Campinas	São Paulo
Der Schlaf	Black Metal	Split-up	Natal	Rio Grande do Norte
Deranged Insane	Death Metal/Grindcore	On hold	Londrina	Paraná
Dereallization	Depressive Black Metal	Active	Minas Gerais	
Dergo	Death/Thrash Metal	Active	Goiânia	Goiás
Desacordo	Thrash Metal/Crossover	Active	Pernambuco	
Desalento	Gothic Metal	Split-up	João Pessoa	Paraíba
Desalma	Death/Thrash Metal	Active	Recife	Pernambuco
Desalmado	Grindcore	Active	São Paulo	São Paulo
Desaster	Thrash/Death Metal	Changed name	São Bernardo do Campo	São Paulo
Descanse em Paz	Thrash Metal	Split-up	São Paulo	São Paulo
Descarnakula	Death Metal	Active	São José dos Campos	São Paulo
Descarrego	Death Metal	Active	Fernandópolis	São Paulo
Descerebration	Death Metal	Active	Três Pontas (early); Varginha	Minas Gerais
Descompasso	Black Metal	Active		
Desdominus	Death/Black Metal	Active	Americana	São Paulo
Desecrated Sphere	Progressive/Technical Death Metal	Split-up	Mogi Mirim	São Paulo
Desecration	Black Metal	Split-up	Belo Horizonte	Minas Gerais
Desecration	Death Metal/Grindcore	Active	Guarujá	São Paulo
Desejo Impuro	Black Metal	Unknown	Campo Grande	Mato Grosso do Sul
Desekrate	Death Metal	Active	São Paulo	São Paulo
Desenterro	Black Metal	Unknown	Londrina	Paraná
Desequilibrium	Black Metal	Split-up	Goiânia	Goiás
Desert Druid and the Acid Caravan	Stoner/Doom Metal	Active	Sorocaba	São Paulo
Desert Gods	Heavy Metal	Active	Jundiaí	São Paulo
Desert Voices	Heavy Metal	Active	Vila Velha	Espírito Santo
Desertor	Hardcore (early); Thrash Metal/Hardcore (later)	Split-up	Foz do Iguaçu	Paraná
Desgraça	Depressive Black Metal	Unknown	Osasco	São Paulo
Desgraça	Death Metal/Grindcore (early); Crust/Grindcore (later)	Split-up	São José do Rio Preto	São Paulo
Desgraça Eterna	Black Metal	Active	Montes Claros	Minas Gerais
Desgraça Infernal	Black Metal	Active	Votuporanga	São Paulo
Desgraça Maldita	Death Metal	Active	Teresina	Piauí
Desgraceria	Death Metal/Grindcore	Active	Maringá	Paraná
Desideratum	Melodic Doom/Death Metal	Split-up	São Paulo	São Paulo
Desidium	Doom/Death Metal	Split-up	Salvador	Bahia
Desinfernality	Death Metal	Active	Olinda (early)/Camaragibe (later)	Pernambuco
Desintegration	Death Metal	Split-up	Brasília	Distrito Federal
Desista	Post-Black Metal	Active	Natal	Rio Grande do Norte
Desmodus Rothundus	Death/Doom Metal	Split-up	São Paulo	São Paulo
Desolatae	Black/Death/Doom Metal	Active	Rio de Janeiro	Rio de Janeiro
Desolate Ways	Gothic Metal	Unknown	Torres	Rio Grande do Sul
Desolation	Death/Thrash Metal	Split-up	São Paulo	São Paulo
Desolation	Deathcore	Active	Macapá	Amapá
Desolation Temple	Atmospheric Black Metal	Active	Rio de Janeiro	
Desonra	Thrash Metal with Hardcore elements	Active	Brasília	Distrito Federal
Desordem	Groove/Thrash Metal	Active	Goiânia	Goiás
Desperata	Progressive Metal	Active	Belo Horizonte	Minas Gerais
Desperate Corners	Doom Metal/Depressive Black Metal	Active	Carlos Barbosa	Rio Grande do Sul
Desperate Soul	Death Metal	Active	Blumenau	Santa Catarina
Despised	Death Metal/Grindcore	Active	Mogi Guaçu	São Paulo
Despojos	Death Metal	Active	São Paulo	São Paulo
Despot	Black Metal	Active	Belo Horizonte	Minas Gerais
Despotic	Heavy/Thrash Metal	Split-up	Florianópolis	Santa Catarina
Despotic Hate	Thrash/Death Metal	Split-up	Araraquara	São Paulo
Desprezível	Slam/Brutal Death Metal	Active	Campina Grande do Sul	Paraná
Desterro	Thrash Metal	Active	Imperatriz	Maranhão
Destino Ignorado	Heavy Metal (early); Rock, Blues (later)	Active	Rio de Janeiro	Rio de Janeiro
Destiny Old Die	Doom Metal	Active	Jaboatão dos Guararapes	Pernambuco
Destitution	Brutal Death Metal/Grindcore	Split-up	Bauru	São Paulo
Destoner	Heavy/Groove/Thrash Metal	Active	Joinville	Santa Catarina
Destra	Power/Progressive Metal	Active	São Paulo	São Paulo
Destróçus	Thrash Metal	Active	Leme	São Paulo
Destrossus	Thrash/Death Metal	Split-up	São Paulo	São Paulo
Destroy XIII	Death/Thrash/Groove Metal	Active	Breves	Pará
Destroyed Empire	Death/Thrash/Gothic Metal	Active	Macapá	Amapá
Destroyer	Thrash Metal	Split-up	Niterói	Rio de Janeiro
Destruction of Bodies	Death/Thrash Metal	Active	Vespasiano	Minas Gerais
Destruidor	Black/Speed/Thrash Metal	Active	Fortaleza	Ceará
Destruindo Sacramento	Death Metal	Split-up	Aracaju	Sergipe
Destrutor	Thrash Metal	Split-up	São Gonçalo	Rio de Janeiro
Desvanecer	Black/Thrash Metal	Active	Nova Friburgo	Rio de Janeiro
Deterioration	Death Metal/Grindcore	Split-up	Lavras	Minas Gerais
Dethroned Christ	Black Metal	Unknown	Santo André	São Paulo
Detonator	Heavy/Folk Metal	Active	São Paulo	São Paulo
Deus Castiga	Grindcore/Death Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Deus em Chamas	Black Metal	Active	Vila Velha	Espírito Santo
Deuszebul	Grindcore	Active	Natal	Rio Grande do Norte
Devachan	Heavy Metal	Active	Iperó	São Paulo
Devakhan	Melodic Black/Death Metal	Active	Recife	Pernambuco
Devast	Death Metal	Split-up	Juiz de Fora	Minas Gerais
Devastação	Thrash Metal	Unknown	Mauá	São Paulo
Devastação Profana	Black Metal	Active		
Devastação Sob Terror	Grindcore	Active	São José dos Campos	São Paulo
Devastation	Thrash Metal	Changed name	Belo Horizonte	Minas Gerais
Devastation	Thrash Metal/Crossover	Split-up	Maceió	Alagoas
Devastation	Thrash Metal	Changed name	Belém	Pará
Devaster	Black Metal	Active	Botucatu	São Paulo
Devastor	Death/Thrash Metal	Split-up	Santo André	São Paulo
Devastor	Heavy Metal	Active	Santos	São Paulo
Deventter	Progressive Metal/Rock	Active	São Paulo	São Paulo
Devenustatus	Black Metal	Split-up	Juiz de Fora	Minas Gerais
Device	Death/Thrash Metal	Active	Brasília	Distrito Federal
Devil	Black Metal	Active	Teresina	Piauí
Devil Black'n Roll	Black/Speed Metal	Active	Guarulhos	São Paulo
Devil Mantra	Blackened Deathcore	Active		
Devil on Earth	Speed/Thrash Metal	Active	Barra Bonita	São Paulo
Devil Pesten	Black Metal	Active		
Devil's Blues Booze	Heavy/Stoner Metal	Active	Poços de Caldas	Minas Gerais
Devil's Code	Black Metal	Split-up	São Paulo	São Paulo
Devil's Hill	Thrash Metal	Active	Pernambuco	
Devil's Reign	Raw Black Metal	Split-up	Santa Luzia	Minas Gerais
Devilcrusher	Death Metal	Changed name	São Paulo	São Paulo
