Country of origin	Location	Status	Formed in	Genre	Themes	Current label	Years active	url
Brazil	Salvador, Bahia	Split-up	1984	Heavy/Power Metal	War, Violence, Satanism, Heavy Metal culture	Unsigned/independent	1984-1989	https://www.metal-archives.com/bands/Kr%C3%A2nio_Met%C3%A1lico/3540267933
Brazil	Olinda, Pernambuco	Active	1992	Brutal Death Metal	Violence, Torture, Death	Unsigned/independent	1992-? (as Krápula), 2015-present	https://www.metal-archives.com/bands/Krapula/3540399343
Brazil	Nova Friburgo, Rio de Janeiro	Split-up	2005	Death/Black/Thrash Metal	War, Serial killers, Society, Violence, Reality	Unsigned/independent	2005-2015	https://www.metal-archives.com/bands/Krattera/3540322017
Brazil	Cascavel, Paraná	Split-up	1990	Death/Black Metal	Evil, Death, Violence, Insurrection	Unsigned/independent	1990-2001	https://www.metal-archives.com/bands/Kreditor/5479
Brazil	São Paulo, São Paulo	On hold	1998	Thrash Metal	Society, Politics, Life	Unsigned/independent	1998-present	https://www.metal-archives.com/bands/Kremate/7263
Brazil	Fortaleza, Ceará	Active	2004	Death Metal	Anti-religion, Destruction, Death	Unsigned/independent	2004-present	https://www.metal-archives.com/bands/Krenak/129308
Brazil	Porto Alegre, Rio Grande do Sul	Active	2014	Heavy Metal	Christianity	Unsigned/independent	2014-present	https://www.metal-archives.com/bands/Krenides/3540449154
Brazil	São Paulo, São Paulo	Active	2014	Black Metal	War, Chaos, Anti-Christianity, Death	Southern Plague Records	2014-present	https://www.metal-archives.com/bands/Krieg_Filosophy/3540392628
Brazil	São Paulo, São Paulo	Split-up	2006	Black Metal	World War II, Misanthropy	Unsigned/independent	2006-?	https://www.metal-archives.com/bands/Kriegnath/63033
Brazil	Sobral, Ceará	Active	2013	Thrash Metal	N/A	Unsigned/independent	2013-present	https://www.metal-archives.com/bands/Krifkill/3540493617
Brazil	Belo Horizonte, Minas Gerais (early); Deux-Montagnes, Canada / Belo Horizonte, Brazil (later)	Active	2007	Progressive Death Metal	Politics, Society, God, Humanity, Christianity	Rottweiler Records	2007-2009, 2010-2015, 2019-present	https://www.metal-archives.com/bands/Krig/99981
Brazil	Florianópolis, Santa Catarina	Split-up	1996	Black Metal	Mythical and Medieval fantasy	Godless Records	1990-1996 (as Diabolical Darkness Dissemination), 1996-2000 (as Krimpartûrr Bürzum Shi-Hai), 2004-2005 (as Krimpartûrr Bürzum Shi-Hai), 2005-2012	https://www.metal-archives.com/bands/Krimparturr/21151
Brazil	Rio de Janeiro, Rio de Janeiro	Split-up	1985	Heavy Metal (early); Death/Thrash Metal (later)	Wars, Humanity, Plagues	Unsigned/independent	1985-1992	https://www.metal-archives.com/bands/Kripta/64552
Brazil	São Carlos, São Paulo	Active	2001	Death Metal	N/A	Unsigned/independent	2001-present	https://www.metal-archives.com/bands/Kriptya/61394
Brazil	Ijuí, Rio Grande do Sul	Active	1990	Death Metal	Satanism, Darkness, Death, Murder, Apocalypse, Anti-Christianity, Blasphemy	Century Media Records	1990-present	https://www.metal-archives.com/bands/Krisiun/197
Brazil	Americana, São Paulo	Split-up	2005	Progressive Death/Thrash Metal	N/A	Unsigned/independent	2005-?	https://www.metal-archives.com/bands/Krismu/3540258237
Brazil	Curitiba, Paraná	Active	2022	Black Metal	Satanism, Hell, Darkness	Unsigned/independent	2022-present	https://www.metal-archives.com/bands/Krists_D%C3%B8d/3540535273
Brazil	Recife, Pernambuco	Split-up	2009	Heavy Metal/Hard Rock (early); Progressive Metal (later)	Literature, Philosophy, Personal thoughts	Unsigned/independent	2009-2014	https://www.metal-archives.com/bands/Kriver/3540325455
